,LicenseNo,Inspection_Results
0,34218,4
1,24597,1
2,1779,4
3,8541,2
4,35194,1
5,6067,4
6,28855,1
7,28419,1
8,7705,1
9,24194,1
10,4640,1
11,16776,4
12,12737,2
13,22966,1
14,15205,3
15,7273,1
16,4947,1
17,5949,2
18,14074,1
19,35072,1
20,18733,1
21,11732,1
22,9993,3
23,28275,2
24,16343,1
25,3074,4
26,18892,1
27,35312,1
28,5433,1
29,1036,3
30,8948,3
31,18542,1
32,17783,1
33,13866,2
34,20847,3
35,7739,1
36,6454,1
37,24328,2
38,28588,3
39,18834,1
40,6454,1
41,8512,3
42,16325,2
43,3435,1
44,484,1
45,25791,3
46,14110,1
47,9255,4
48,564,3
49,20525,1
50,31471,1
51,14791,4
52,16350,4
53,20066,1
54,14449,1
55,21340,1
56,9594,4
57,37190,1
58,13566,2
59,14707,3
60,1280,1
61,33613,1
62,32190,1
63,124,3
64,3394,4
65,25289,1
66,10028,3
67,26507,1
68,5929,1
69,1,2
70,9075,1
71,19823,1
72,34446,1
73,29764,1
74,26827,1
75,33934,1
76,19119,1
77,35230,3
78,18897,1
79,12503,3
80,23320,1
81,9272,4
82,1665,1
83,18015,1
84,26585,2
85,30934,4
86,9084,1
87,1413,1
88,6352,1
89,3910,1
90,10124,2
91,9795,1
92,19057,1
93,34278,2
94,17980,2
95,9389,3
96,16811,4
97,21627,1
98,36662,1
99,2939,1
100,26323,2
101,35458,1
102,19495,3
103,11656,1
104,8291,1
105,13034,4
106,13053,1
107,19049,4
108,6249,1
109,17053,1
110,9742,2
111,24828,1
112,21283,3
113,18019,4
114,9603,1
115,35331,1
116,28204,2
117,11094,3
118,25124,2
119,26093,3
120,22385,2
121,6771,1
122,6818,3
123,10541,1
124,3974,1
125,6145,1
126,17487,1
127,20743,1
128,20527,1
129,7462,3
130,341,5
131,16616,1
132,28255,1
133,7597,1
134,34514,1
135,33879,2
136,15833,2
137,7199,3
138,5884,1
139,33641,1
140,20920,3
141,24299,1
142,37392,1
143,20406,1
144,27065,1
145,31683,3
146,32820,1
147,25190,1
148,7356,1
149,17129,2
150,12008,3
151,8786,1
152,17324,1
153,944,2
154,18137,2
155,12180,3
156,2130,4
157,20117,2
158,10282,1
159,29307,1
160,33428,1
161,18311,1
162,36915,3
163,19659,4
164,37355,3
165,33727,1
166,28099,1
167,10392,1
168,702,1
169,3730,4
170,5906,1
171,132,1
172,28041,1
173,10259,2
174,26782,1
175,15346,2
176,35648,1
177,35759,1
178,15199,2
179,34851,1
180,13625,4
181,10527,1
182,5757,1
183,12920,2
184,19910,1
185,6715,2
186,16350,1
187,23489,1
188,340,1
189,31878,2
190,26807,1
191,22606,2
192,5837,2
193,21456,4
194,16145,1
195,21240,1
196,15220,1
197,18464,3
198,26996,3
199,5990,1
200,9758,1
201,24747,1
202,2712,1
203,12126,1
204,15121,2
205,26300,1
206,7970,3
207,36982,1
208,17745,1
209,23081,3
210,36051,1
211,8299,1
212,19471,1
213,29957,3
214,4843,2
215,23933,2
216,32798,1
217,12823,1
218,21270,2
219,6266,1
220,582,1
221,1093,2
222,2949,1
223,33587,1
224,9784,2
225,313,1
226,7819,2
227,10719,2
228,22540,1
229,8042,1
230,9123,1
231,2757,4
232,10157,1
233,13817,1
234,26252,1
235,9631,2
236,22268,4
237,27066,4
238,35932,2
239,30955,3
240,26264,1
241,32877,2
242,5032,3
243,15146,1
244,2356,4
245,13090,1
246,19464,1
247,34335,1
248,37157,4
249,16152,1
250,20202,1
251,5931,4
252,19484,1
253,21089,1
254,35402,1
255,24244,2
256,8817,1
257,115,4
258,19449,2
259,752,2
260,11670,1
261,28793,1
262,8397,1
263,32030,1
264,4107,3
265,14525,3
266,3826,1
267,27525,3
268,14674,1
269,5032,3
270,23287,1
271,18310,1
272,12080,1
273,28128,3
274,3317,1
275,18165,1
276,12189,2
277,9055,1
278,6002,1
279,36321,2
280,3783,4
281,1335,4
282,19230,2
283,26243,1
284,11400,1
285,13304,2
286,9812,1
287,25467,1
288,10816,2
289,36927,1
290,1845,1
291,15992,2
292,11006,1
293,21029,2
294,7733,1
295,28518,1
296,19697,2
297,33583,2
298,16888,1
299,23254,2
300,7090,1
301,10605,4
302,5971,1
303,26513,1
304,35893,1
305,22879,1
306,36111,1
307,19598,3
308,20700,3
309,4584,1
310,6330,1
311,9446,1
312,27065,4
313,13645,4
314,15495,1
315,15403,3
316,16939,1
317,9572,1
318,35453,1
319,33906,1
320,19715,1
321,21733,1
322,1336,4
323,9318,1
324,21491,2
325,3541,1
326,6332,1
327,12660,2
328,36763,1
329,34364,1
330,13794,1
331,15214,3
332,10844,1
333,15179,1
334,8982,3
335,1488,1
336,5594,1
337,27380,2
338,29352,4
339,8435,1
340,36229,1
341,21948,2
342,35367,4
343,9824,2
344,786,4
345,37064,4
346,36295,1
347,26203,1
348,12794,2
349,3189,1
350,4018,2
351,9233,4
352,16467,1
353,8779,1
354,21626,1
355,18164,3
356,13816,1
357,18547,1
358,20274,1
359,27374,1
360,11186,1
361,18810,4
362,5088,1
363,24415,1
364,4392,1
365,34636,1
366,15543,2
367,12474,1
368,24459,4
369,18519,1
370,21641,1
371,29858,1
372,25632,3
373,9174,1
374,30938,1
375,8471,3
376,5325,1
377,6759,3
378,12855,1
379,2968,1
380,11630,1
381,34073,1
382,4462,2
383,18718,2
384,10614,1
385,2745,2
386,37235,3
387,585,2
388,3292,1
389,33561,1
390,20226,1
391,20456,4
392,26564,1
393,19698,3
394,35648,1
395,17725,1
396,22163,1
397,35017,1
398,18170,1
399,2674,1
400,4312,1
401,9376,1
402,36019,1
403,2805,1
404,16875,1
405,26057,1
406,331,5
407,30238,4
408,8552,1
409,37254,2
410,9151,3
411,20883,1
412,12151,2
413,13063,1
414,12168,1
415,8376,1
416,17971,2
417,6356,1
418,20944,1
419,13320,1
420,4095,1
421,11128,1
422,35791,2
423,20637,1
424,29351,1
425,11465,3
426,17972,4
427,36711,2
428,34187,1
429,34640,3
430,5834,2
431,9585,1
432,933,4
433,10009,4
434,27611,1
435,11175,1
436,7268,1
437,7309,1
438,8890,1
439,16283,1
440,1146,1
441,12358,1
442,6607,1
443,10633,1
444,660,1
445,508,1
446,26019,4
447,25814,3
448,16000,2
449,28937,1
450,3327,3
451,36245,3
452,19837,2
453,25319,2
454,5242,4
455,22514,1
456,19474,1
457,682,1
458,17303,1
459,32813,3
460,7119,1
461,10818,1
462,27542,2
463,33573,1
464,1799,3
465,26401,2
466,3812,1
467,19090,2
468,4826,2
469,28719,1
470,10388,1
471,21155,1
472,8300,3
473,17068,1
474,9327,1
475,18359,4
476,17023,1
477,22350,3
478,2383,3
479,11454,1
480,12177,3
481,9446,4
482,21314,1
483,25781,2
484,19804,1
485,9940,3
486,20102,1
487,23466,3
488,22101,1
489,17370,1
490,28613,2
491,32593,3
492,21649,3
493,19057,1
494,4202,1
495,24051,1
496,18195,1
497,19054,2
498,28080,1
499,9567,1
500,25740,3
501,14993,1
502,5521,2
503,9487,4
504,9651,1
505,4584,1
506,21134,1
507,18485,1
508,13064,1
509,23191,1
510,11670,1
511,16483,1
512,21376,3
513,10023,2
514,15987,3
515,19472,1
516,11028,1
517,13308,1
518,35843,3
519,4543,3
520,16657,1
521,12973,1
522,1210,3
523,9686,4
524,23260,1
525,29450,1
526,35161,2
527,32968,1
528,19711,1
529,13814,3
530,10238,2
531,15545,3
532,3621,1
533,35832,2
534,857,1
535,13229,1
536,20992,1
537,22768,1
538,33956,2
539,60,1
540,4237,4
541,16260,2
542,3864,1
543,12308,1
544,17076,1
545,4428,1
546,23579,1
547,25408,2
548,35830,1
549,927,1
550,8972,3
551,12460,1
552,35421,3
553,37170,1
554,23340,1
555,22405,2
556,11904,3
557,7115,2
558,33600,1
559,10091,4
560,25514,3
561,241,1
562,20527,1
563,6717,1
564,28793,4
565,22578,1
566,4186,1
567,9094,3
568,17671,2
569,28533,1
570,8658,4
571,22291,1
572,13581,2
573,23191,4
574,13412,1
575,36689,2
576,33766,1
577,17356,4
578,12348,1
579,88,1
580,8011,1
581,25274,1
582,24941,1
583,3514,1
584,11560,2
585,32971,1
586,587,2
587,17981,1
588,29725,3
589,14252,1
590,818,1
591,27490,1
592,24030,1
593,34719,1
594,34299,1
595,6233,1
596,18865,1
597,16343,2
598,2051,1
599,2160,1
600,7438,1
601,1106,1
602,8494,2
603,19301,1
604,23452,2
605,1075,3
606,2114,1
607,3871,1
608,30372,1
609,5335,2
610,25142,1
611,6563,1
612,11009,1
613,20158,1
614,21689,1
615,14968,1
616,25644,1
617,17302,3
618,15545,2
619,18900,2
620,8717,1
621,10737,1
622,8376,1
623,20543,1
624,1823,1
625,24942,3
626,24990,3
627,21325,1
628,37319,1
629,14232,1
630,30888,4
631,14250,1
632,11218,2
633,10816,2
634,18689,3
635,33452,4
